Audit,Category,Weight within Category
first-contentful-paint,performance,3
first-meaningful-paint,performance,1
speed-index,performance,4
interactive,performance,5
first-cpu-idle,performance,2
max-potential-fid,performance,0
load-fast-enough-for-pwa,pwa-fast-reliable,7
works-offline,pwa-fast-reliable,5
offline-start-url,pwa-fast-reliable,1
is-on-https,pwa-installable,2
service-worker,pwa-installable,1
installable-manifest,pwa-installable,2
redirects-http,pwa-optimized,2
splash-screen,pwa-optimized,1
themed-omnibox,pwa-optimized,1
content-width,pwa-optimized,1
viewport,pwa-optimized,2
without-javascript,pwa-optimized,1
apple-touch-icon,pwa-optimized,1
pwa-cross-browser,pwa,0
pwa-page-transitions,pwa,0
pwa-each-page-has-url,pwa,0
accesskeys,accessibility,3
aria-allowed-attr,accessibility,10
aria-required-attr,accessibility,10
aria-required-children,accessibility,10
aria-required-parent,accessibility,10
aria-roles,accessibility,10
aria-valid-attr-value,accessibility,10
aria-valid-attr,accessibility,10
audio-caption,accessibility,10
button-name,accessibility,10
bypass,accessibility,3
color-contrast,accessibility,3
definition-list,accessibility,3
dlitem,accessibility,3
document-title,accessibility,3
duplicate-id,accessibility,1
frame-title,accessibility,3
html-has-lang,accessibility,3
html-lang-valid,accessibility,3
image-alt,accessibility,10
input-image-alt,accessibility,10
label,accessibility,10
layout-table,accessibility,3
link-name,accessibility,3
list,accessibility,3
listitem,accessibility,3
meta-refresh,accessibility,10
meta-viewport,accessibility,10
object-alt,accessibility,3
tabindex,accessibility,3
td-headers-attr,accessibility,3
th-has-data-cells,accessibility,3
valid-lang,accessibility,3
video-caption,accessibility,10
video-description,accessibility,10
logical-tab-order,accessibility,0
focusable-controls,accessibility,0
interactive-element-affordance,accessibility,0
managed-focus,accessibility,0
focus-traps,accessibility,0
custom-controls-labels,accessibility,0
custom-controls-roles,accessibility,0
visual-order-follows-dom,accessibility,0
offscreen-content-hidden,accessibility,0
heading-levels,accessibility,0
use-landmarks,accessibility,0
appcache-manifest,best-practices,1
is-on-https,best-practices,1
uses-http2,best-practices,1
uses-passive-event-listeners,best-practices,1
no-document-write,best-practices,1
external-anchors-use-rel-noopener,best-practices,1
geolocation-on-start,best-practices,1
doctype,best-practices,1
no-vulnerable-libraries,best-practices,1
js-libraries,best-practices,0
notification-on-start,best-practices,1
deprecations,best-practices,1
password-inputs-can-be-pasted-into,best-practices,1
errors-in-console,best-practices,1
image-aspect-ratio,best-practices,1
viewport,seo,1
document-title,seo,1
meta-description,seo,1
http-status-code,seo,1
link-text,seo,1
is-crawlable,seo,1
robots-txt,seo,1
image-alt,seo,1
hreflang,seo,1
canonical,seo,1
font-size,seo,1
plugins,seo,1
tap-targets,seo,1
structured-data,seo,0
